"","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"Pdlim2",1.51464291059163,7.0036071564707,8.15916272955008,1.72156190559495e-06,0.000762818526943622,5.48100906763072
"Mtss1",0.978334306616821,4.55384125630442,8.13117869246271,1.78830515032879e-06,0.000767629985778632,5.44521864865826
"Gm33694",1.2844779928113,1.94587771179925,7.91025779094913,2.42242056689776e-06,0.00100831420930023,5.15891949441507
"Mgat4a",0.737482604652586,8.59563271979167,7.88093082266684,2.52310623514946e-06,0.00101933491900038,5.1204085077764
"Entpd5",0.748798307633137,8.00764729574302,7.8488408315999,2.63839017950592e-06,0.00103545507159124,5.0781323448307
"Lpar1",0.774476810430159,5.93440220827746,7.82444189689456,2.72978208752762e-06,0.00104156352095221,5.04589258680007
"Slc30a10",1.46301349452032,8.17590638900506,7.80222643471202,2.81592152250706e-06,0.00104539183873397,5.01646568355636
"Gnpda1",0.826458799198575,6.8249749722428,7.65298137576402,3.4748712288828e-06,0.00125306907808594,4.81697633886293
"Chd5",2.92996216610323,1.07409050883213,7.63636420286292,3.55778203591668e-06,0.00125306907808594,4.79457020593837
"Zhx2",0.73547848873112,5.19933848375033,7.61364401866937,3.67455644614657e-06,0.00126184268360673,4.76387145731406
"Orai1",1.4827836213371,5.39433954948212,7.58852652974864,3.80840022111602e-06,0.00127590696188414,4.72984804085916
"Pdp2",1.34954793995714,5.86255695775387,7.53687012935748,4.10018793450786e-06,0.00131602410329133,4.65959274499168
"Soat1",1.61099209453038,4.67191039209731,7.5335457326853,4.11976095235348e-06,0.00131602410329133,4.65505832393023
"Sema6d",1.05175280804432,5.30701248440007,7.50139327833104,4.31425998172412e-06,0.00134683352520369,4.61112112036341
"Arfgef2",0.754773771957798,6.75509498966219,7.46883879875812,4.52114250473495e-06,0.00138005363211198,4.56648319389705
"Rasa2",0.553506028974317,5.59059825100757,7.41638622875685,4.87691137960442e-06,0.00143012200615955,4.4942400927892
"Faap100",0.776942583858713,3.47417330718269,7.41405461952225,4.89339940954417e-06,0.00143012200615955,4.49101953066481
"Asap1",1.31591901415353,4.77130594978468,7.36323950517133,5.26781281848404e-06,0.00150747243488951,4.42063489350433
"Slc30a1",1.4005905082468,5.5244187734975,7.34543428970092,5.4060906745607e-06,0.00151547064297481,4.39588398072671
"Cdyl2",1.9616615207646,-0.835305472940584,7.22383240801093,6.45958884000344e-06,0.00177457824612574,4.22560940026303
"Mfsd4b2",0.62536330628775,6.1203575061958,7.17973530531659,6.89362336190517e-06,0.00183958893794009,4.16332641586459
"Shmt1",2.22241760536182,4.21775642134239,7.17285516690667,6.96408159383261e-06,0.00183958893794009,4.15358306168804
"Acvr1",1.04647458999478,3.90853788385773,7.15588235879825,7.1411785101561e-06,0.00185077788708498,4.12951706539593
"H2-Q5",0.917374476127056,4.59530045941031,7.11394683512078,7.59950543001897e-06,0.00190052750487402,4.06987370603998
"Bri3bp",0.821301195345836,6.37786897921213,7.11303078437436,7.60985823879376e-06,0.00190052750487402,4.0685679389461
"Prr5",0.975188886576211,5.26118881268086,7.09947772375539,7.76478618517663e-06,0.0019045911257069,4.04923447251839
"Aplp1",0.841975825844375,7.67150723530126,7.07697864297077,8.02939654607965e-06,0.0019059759248419,4.01707940621115
"Gm42546",1.88479061632905,0.0806242895664636,7.06569646807983,8.16566368781795e-06,0.0019059759248419,4.00092697125359
"Gm2061",2.43913735370314,4.97428569111268,7.05466597955068,8.30125956250485e-06,0.0019059759248419,3.98511660171054
"Adamtsl5",0.812867890371058,7.32518419799986,7.05271716756272,8.32546268859303e-06,0.0019059759248419,3.98232142560629
"Gm31848",1.24209195407909,0.468681007354447,6.98184074732933,9.25847365319035e-06,0.00208482613279054,3.88027955085668
"Micall2",0.936651774954131,5.87995926581316,6.93008399425324,1.00093746012666e-05,0.00221756079875804,3.80529113755943
"Fam210a",1.00265819039048,5.5425116869456,6.90214065600296,1.04413267538943e-05,0.00227654070303957,3.76463847137578
"Adgrg6",1.53718523897705,-0.805592748809563,6.88192260302684,1.07661305059381e-05,0.00231068075983695,3.7351517561895
"Slc35f2",0.986554407176445,6.85143076232212,6.83136475818483,1.1626015011236e-05,0.00241598043939578,3.66114772553975
"Chad",1.32529186652621,0.766395257851416,6.82748454763016,1.16949439745111e-05,0.00241598043939578,3.6554521852923
"Vsir",2.07347587866677,1.83431439340633,6.81790601647887,1.18669556732834e-05,0.00241598043939578,3.64138270010707
"Usp40",0.521449455742621,5.18090468522808,6.80400240577734,1.21214122437238e-05,0.00241598043939578,3.62093570617101
"Gm15823",1.44559049220842,-0.643448296267475,6.80320466529477,1.21361859579433e-05,0.00241598043939578,3.61976164565239
"Ttc39b",1.28104621248228,5.52982448799696,6.79209547598876,1.23439120880846e-05,0.00242222823488472,3.60340192120003
"Nptx1",2.20320944265166,-1.2384143529932,6.74353958116868,1.32969532372028e-05,0.00257249224881996,3.53167846802983
"Tm4sf4",-0.745676051422005,5.76131803874548,-6.73427390749471,1.34874926312678e-05,0.00257311387198743,3.51795137908599
"Ifngr1",-0.670312605827352,6.28133406366107,-6.71352603457287,1.3924693961711e-05,0.00258726089827467,3.4871663257258
"Arhgap32",0.998893964383074,7.47289017094199,6.71288866269073,1.39383595276882e-05,0.00258726089827467,3.4862195816986
"Ccdc134",1.29328636188044,3.43038760256865,6.6707848787256,1.48732301708647e-05,0.00268443254494138,3.42354287418229
"Ppp1r15b",0.812659263097907,7.84500490407942,6.668807964725,1.49187223135482e-05,0.00268443254494138,3.42059338847837
"Nedd9",0.922257910252154,5.5454790432849,6.66321843581641,1.50481439982882e-05,0.00268443254494138,3.41225080197543
"Gm26616",0.6005478395276,2.40588306033375,6.61046531375869,1.63296680986964e-05,0.00284679667498847,3.33328115336391
"Gm4755",1.17951127788335,0.987130836789124,6.60876626591609,1.63728113951725e-05,0.00284679667498847,3.33073070878051
"Kbtbd11",0.732428039293938,6.49766300354605,6.59506081197291,1.67252620572364e-05,0.00287172749522748,3.3101413708015
