,c1,t1,c2,c3,c4,c5,c6,t2,t3,t4,t5,t6
Got1l1,0,0,0,0,0,0,1,0,0,0,0,0
Got2,4607.66807,4426.40106,4316.53104,4942.24166,4134.23105,3344.31457,4803.97907,4406.56731,4417.5475,4722.29862,4216.4339,3693.32341
Got2-ps1,7.309,8.58483,2.45381,8.60508,9.75047,2.56838,0,7.41717,2.44385,2.57724,0.311285,3.6645
Gp1ba,11,5,10.9999859,9,13,14,14,8,7,12,12,9
Gp1bb,136.9449,111.4057,164.0642,253.8487,215.3337,300.58408,234.0979,63.681576,184.7896,248.5571,251.981,139.9799
Gp2,0,0,1,0,3,0,3.000002395,1,5.999996337,0,2.000003762,4.000001421
Gp5,4,1,5,0,2,1,1,2,4,3,1,2
Gp6,2.00368,3.195199,8.69601,2.03704,16.0752,5.44317,5.00451,2.35327,2.03369,3.49284,3.00524,6.10528
Gp9,0,0,0,2,0,2,2,2,2,4,1,0
Gpa33,7966.99349,6882.99671,8668.0004,7946.99779,12692.04405,13538.02713,9172.99481,7269.00174,9343.00843,9656.99865,8166.99727,10559.0017
Gpaa1,921.9998102,1039.000424,940.9999609,1093.00035,1212.99718,1001.000214,951.999861,902.00007,1060.999991,1119.99768,1227.0025,1116.000409
Gpalpp1,842.805,930.638,825.157,874.229,635.918,551.194,788.103,983.439,838.157,833.847,774.867,596.659
Gpam,514,497.9995,427.00012,437,367.00019,266.99978,413.9997,512.9998,480.9998,438.99971,568.0004,373.00016
Gpank1,277.67648,259.57706,207.7505,242.63419,313.61868,331.41178,267.00528,222.72632,242.95701,212.13,315.66064,302.66468
Gpat2,2,3,3,2,1,0,0,0,1,3,1,0
Gpat3,791.43079,650.661,1156.50614,558.7864,1959.083,2085.74778,984.48999,908.573,885.82941,1252.88639,1121.8823,1503.909
Gpat4,838.00009,1001,929.9999,999.00019,780.0005,668.9996,761.99954,882.0006,1009.9994,913.9999,796.00047,910.00042
Gpatch1,400.0003,377.0001,376.9996,455.99966,360.9996,290.99972,363.0002,349.00031,373.00043,344.9999,381.99972,299.9995
Gpatch11,257.6603,239.1813,317.67552,337.77824,351.72314,354.12751,226.0001,270.63739,261.0001,304.8333,287.0004,336.73395
Gpatch2,600.00045,658.00016,715.00023,688.99985,579.00006,468.9998,635.99986,604.9997,672.9998,632.99981,552.99971,559.0001
Gpatch2l,286.37573,317.22999,352.5881,299.74138,320.38722,284.45283,309.91459,351.14407,329.8943,290.31783,274.781,317.38261
Gpatch3,120.99974,100,98.00002,121.99979,123.00008,108,121.00021,96.99995,103.99996,108,103.99996,120
Gpatch4,289.00023,434.99978,376.99969,600.99967,296.0002,253.0004,199.99986,472.00041,404.99983,607.00032,537.9996,397.00052
Gpatch8,1774.99802,1462.00447,1590.00042,1251.998,1500,1266.997,1586.99932,1494.99636,1241.004,1387.002,1182.0041,1140.9959
Gpbar1,0,0,3,0,1,0,0,3,0,0,0,3
Gpbp1,1806.0004,2289.0002,1722.00274,1766.999623,1679.0003,1634.99985,1563.00046,2448.8491,1984.00019,1737.00487,2545.99465,1902.502
Gpbp1l1,3076.998,2742.9943,2668.9593,2102.9682,2505.9581,2800.9975,2985.0041,3045.9933,2308.992,2279.9411,2912.965,2281.9437
Gpc1,15,4.000005,8,11,11,11,15,11,15.8488,7,10,17
Gpc2,21.00001,34.000035,16.99998,28.00002,17.00001,13.00000123,11.999996,15.999998,29.00003127,11,21.99998,20.929296
Gpc3,1,0,0,3,3,3,3,1,0,4,0,0
Gpc4,540,484,668,561,777,813,612,503,569,565,466,619
Gpc5,0,0,0,1,1,1,0,0,0,0,1,1
Gpc6,0,0,0,0,0,0,0,0,0,0,0,0
Gpcpd1,981.9673007,359.0000771,741.9996372,595.9189638,1430.97685,2222.9927,1250.977906,698.9360564,550.0002174,625.9500733,802.9765268,613.00027
Gpd1,15965.2486,12103.43606,21585.8459,14349.5323,25716.05864,22290.04669,19090.8883,11802.42921,16234.08412,14057.1498,18061.88252,20312.4173
