"","Symbol","D:/W/P/China/KYS/Kallisto quant on collection 766 and collection 805_ Abundances (tabular)/SRR9652879.tabular","D:/W/P/China/KYS/Kallisto quant on collection 766 and collection 805_ Abundances (tabular)/SRR9652880.tabular","D:/W/P/China/KYS/Kallisto quant on collection 766 and collection 805_ Abundances (tabular)/SRR9652881.tabular","D:/W/P/China/KYS/Kallisto quant on collection 766 and collection 805_ Abundances (tabular)/SRR9652882.tabular","D:/W/P/China/KYS/Kallisto quant on collection 766 and collection 805_ Abundances (tabular)/SRR9652883.tabular","D:/W/P/China/KYS/Kallisto quant on collection 766 and collection 805_ Abundances (tabular)/SRR9652884.tabular","D:/W/P/China/KYS/Kallisto quant on collection 766 and collection 805_ Abundances (tabular)/SRR9652885.tabular","D:/W/P/China/KYS/Kallisto quant on collection 766 and collection 805_ Abundances (tabular)/SRR9652886.tabular","D:/W/P/China/KYS/Kallisto quant on collection 766 and collection 805_ Abundances (tabular)/SRR9652887.tabular","D:/W/P/China/KYS/Kallisto quant on collection 766 and collection 805_ Abundances (tabular)/SRR9652888.tabular","D:/W/P/China/KYS/Kallisto quant on collection 766 and collection 805_ Abundances (tabular)/SRR9652889.tabular","D:/W/P/China/KYS/Kallisto quant on collection 766 and collection 805_ Abundances (tabular)/SRR9652890.tabular","D:/W/P/China/KYS/Kallisto quant on collection 766 and collection 805_ Abundances (tabular)/SRR9652891.tabular"
"6147","Cln6",98.99996,138,105.96439,162.00034,108,104,73,73.9747,118.00001,91.00003,60.00002,96,102.99998
"6148","Cln8",251.06781,207.091,275.208,216.19554,284.327,241.06802,216.072211,189.21109,174.26551,180.111219,361.996181,212.059,249.33412
"6149","Clnk",5,7,3,5,7,4,8,5,9,6,5,8,8
"6150","Clnkos",0,0,0,0,0,0,0,0,0,0,0,0,0
"6151","Clns1a",314.9956,286.27932,324.5913,397.34829,415.35905,414.3927,266.5822,239.6563,344.16009,188.1455,264.7416,315.83637,320.86574
"6152","Clock",1656.00015,1802.0004,1782.99651,1630.99875,1273.00359007369,1466.00294,1625.99938,1395.00038,1333.00017,1539.99946,1769.00038,1575.99777,2008.0039
"6153","Clp1",219.0087,198.00654,208.0317,194.01227,285.0228,229.0409,189.00188,149.0002,154.09429,167.00239,225.0331,239.0355,176.01884
"6154","Clpb",172.00007,210.0261,231.72632,240.0003,194.561545,223.85486,168.0676,197.0695,179.14237,200.57237,184.0489,241.166037,198.0278
"6155","Clpp",212,247.00024,252,295,337,397,203,160.99981,237,194.00013,215,285,281
"6156","Clps",184,309,235,361,247.00011,253,125.99965,137,244,76,217,261,178
"6157","Clpsl2",0,0,0,0,0,0,0,0,0,0,0,0,0
"6158","Clptm1",4883.00329,4859.00509,4611.995076,5393.99954,4743.998851,4517.99455,4802.99888,5139.00336,3975.99886,5359.00338,4480.00481,4320.00041,4450.99901
"6159","Clptm1l",2044.99588,1781.99843,1788.9971,2158.9998,1996.9975,2279.9981,1915.99953,1970.0033,1726.99633,1875.0029,1756.004,2031.0017,2190.9987
"6160","Clpx",698.99964,688,743.999683,794.0003,949,729.00014,639.99969,705.0002,622,722.99999,686.9999,767,755.0001
"6161","Clrn1",1,0,0,2,1,2,3,3,1.73498,2,0,1.0322,6
"6162","Clrn2",0,0,0,0,0,0,0,0,0,0,0,0,0
"6163","Clrn3",8166,6595,6399,5962,6827,5850,8719,6746,4727,5304,6744,7087,4991
"6164","Clspn",7.000009,29.99998,29.00003,92.99997,34,33,7.9999954,3.000005,35.00001,24,9.999999,16,37.99996
"6165","Clstn1",2914,2737,2549.99858,3161,2563,2744,2973,2955,2410,3234,2536,2356.42,2871.54226
"6166","Clstn2",2,0,1,0,1,2.00238,4,3,0,2.00077,1,3.0019,2.00039
"6167","Clstn3",1,0,0,1,0,1,2,0,1,0,0,1,0
"6168","Clta",2869.0021,2825.9953,3079.00099,3222.0011,3741.0044,3509.00224,2530.9959,2723.00016,2393.00155,2801.9983,2821.9997,2789.0023,2627.9966
"6169","Cltb",1506.4365,1607.8518,1612.2935,1387.9992,1454.8316,1751.0036,1377.8109,1426.8853,1465.9086,1289.1125,1246.4693,1606.7157,1267.5428
"6170","Cltc",13263.76552,12535.99172,11884.92306,14064.9946,10826.22504,10643.57987,14360.15261,13565.66546,11700.99975,13583.0225,11764.33311,11970.10955,13428.9547
"6171","Cltrn",3,8,5,5,6,3,2,8,8,2,9,10,4
"6172","Clu",29.99996,9,10.0000035751,6,4,13,4,7.999999,7,0,4.9999996,5.999996,3
"6173","Cluap1",76.50365,63.8185,98.60319,65.22441,104.51743,95.70012,62.2413,48.17657,64.46315,53.4761,66.24786,116.94097,77.11135
"6174","Cluh",1078.00462,1433.00016,1911.99923,2631.99578,1357.9953,1749.9981,1033.99969,840.9996,1587.00224,1232.9994,843.00048,1204.00342,1804.00426
"6175","Clvs1",0,0,0,0,0,0,0,0,0,0,0,0,0
"6176","Clvs2",1,4.01078,1.00186,2,3.00645,1,0,0,4,0,3,4,0
"6177","Clybl",172,177,211,213.99992,209,251.99974,137.00049,184,201.99973,159,131,177.99969,191
"6178","Cma1",0,0,0,0,0,0,0,0,0,0,0,0,0
"6179","Cma2",0,0,1,0,1,0,0,0,0,0,0,0,0
"6180","Cmah",23.7995,33.1975,32.3946,33.3741,25.487,26.6506,24.3075,23.7324,26.9051,18.2702,40.714,25.9994,50.2133
"6181","Cmas",1605.9999,2072.004137,1481.9985,2101.00428,2252.0006,2028.9989,1565.997,2366.9994,2191.9955,2230.9999,2209.0043,2390.9958,2242.00316
"6182","Cmbl",1547.9961,1577.0051,1770.0037,1034.00024,1822.9998,1821.9992,1413.9983,1507.9965,1638.9961,1192.003,1817.9969,2233.9995,1542.0025
"6183","Cmc1",262.9999,261.0004,246.0004,240,314.9996,362.9996,315.0003,273.0002,246.9998,208.0005,249.9999,302.0004,278
"6184","Cmc2",51.99998,103.9347,99.90751,126.01101,136.92922,120.86773,68.78894,54.99998,82.99996,77.00009,56.7563,82.99992,108.0045
"6185","Cmc4",36.38968,43.02064,66.2161,52.3625,79.7865,109.6265,63.7126,28.37166,40.68481,42.8301,74.0916,59.3039,53.3898
"6186","Cmip",2257.5304,3583.3894,2134.4216,2103.1248,1430.76121,1579.015,2244.0295,3615.0002,2652.3387,3141.0017,2754.5048,2617.0124,2631.2563
"6187","Cmklr1",2.07649,1,2.21772,2.06594,1,2,2,0,1,1,1,3,1
"6188","Cmklr2",0,0,0,0,0,1,0,0,0,0,0,0,0
"6189","Cmpk1",4765.86543,4039.00221,3887.75366,4930.99648,5955.92143,4663.72777,4424.00202,4748.82196,4150.88664,4319.001,5264.78395,5674.00036,4511.75606
"6190","Cmpk2",799.0001,431.0004,770.00027,587.00015,600.0004,687.00003,757.0003,482.99998,589.99992,600.99976,634.99992,776.00044,766.00027
"6191","Cmss1",7,13.00003,12,27.99998,39,9,4,5,15.99999,6,6,2,9
"6192","Cmtm1",0,1,0,0,2,0,0,0,0,0,0,1,0
"6193","Cmtm2a",0,0,0,0,0,0,0,0,0,0,0,0,0
"6194","Cmtm2b",0,1,1,0,0,0,0,0,0,0,0,0,0
"6195","Cmtm3",6,9.00001,9,4.999995,7.000011,7,7,8.99999,6,6,10.99999,7,3
"6196","Cmtm4",2541,2577,2474,2583,2608,2549,2331,2103,2325,2281,2945,2426,2774
"6197","Cmtm5",0,0,0,0,0,0,0,0,1,0,0,0,0
"6198","Cmtm6",2805,2850,2865,2848,3233,3382,3130,2968,2443,2799,3108,3160,3287
"6199","Cmtm7",33.02171,32.05594,34.02764,62.02016,61.93338,49.92038,21.35642,37.00001,38.20475,39.00002,21,37.01138,39.81026
"6200","Cmtm8",26.0932,33.1984,24.348,30,33.4716,37.327,29.09147,27.13750721996,31.08305,15.0353,17.1406,33.41506,22.1034
"6201","Cmtr1",1038.77951,1015.57621,1059.85067,1228.52813,1116.83331,1070.246183,1180.93576,1018.11765,865.70865,1184.4449,992.79105,1066.30062,1212.46478
"6202","Cmtr2",32,30,27,60,45.99996,34,20,25,37,42,23,40,46
"6203","Cmya5",2,0,0,1,0,0,0,2,1.31701,2,0,1,0
"6204","Cnbd1",0,0,0,0,0,0,0,0,0,0,0,0,0
"6205","Cnbd2",790.2922,1016.39959,418.6933,466.03509,613.8518,941.6048,602.4608,922.59919,261.2503,423.6093,425.45664,594.49735,660.19239
"6206","Cnbp",1705.99944,1802.0045,1933.00521,2205.99847,2597.00211,2666.06716,1524.0021,1424.81696,1791.99748,1257.04118,1564.00544,2114.99719,1751.99557
"6207","Cndp1",537.680472,463.98617,579.90285,328.0001835,338.24026,472.79033,529.35844,361.99952,433.97111,338.72987,500.91191,618.38972,483.01331
"6208","Cndp2",10019.00577,10068.00142,12354.9999,8596.9988,14521.03894,14081.0081,10022.002607,8723.00574,9462.0002,9899.00621,16344.020807,16905.04468,10807.00141
"6209","Cnep1r1",1755.99998,1194.99996,1118.00036,1217.00437,1782.00137,1542.99593,1493.99719,1650.99943,1025.99967,1180.99954,1421.00399,1510.99839,1328.00062
"6210","Cnfn",0,0,0,0,0,0,0,0,0,0,0,0,0
"6211","Cnga1",1,1,0,2,2,1,4,3,2,5,0,0,1
"6212","Cnga2",0,0,0,0,0,0,0,0,0,0,0,0,0
"6213","Cnga3",4,6.16677,5.26606,4.23136,8,6.11847,3.00159,4.34318,3.44824,3.19746,4.18799,5.232263,6.79764
"6214","Cnga4",1,2,1,2,0,0,0,0,1,0,3,3,2
"6215","Cngb1",2,0,6.00172,3,9,10.4365,8.00171,1,1.03252,4.00121,2.05216,9,10.1666
"6216","Cngb3",0,0,0,0,0,0,0,0,0,0,0,0,0
"6217","Cnih1",1662.96,1504.91,1751.87,1864.98408,2000.96,1885.92548,1535.89,1474.98,1497.96,1481.96,1352.92,1840.93797,1358.9811
"6218","Cnih2",9,10,9,4,5,10,5,6,5,2,8,7,3
"6219","Cnih3",6,3.32552,5.983002269,2.000001,1,0,2.999999,1,2,0,4.57634,6.65161,2.000005
"6220","Cnih4",1764.89752,1757.88319,1887.586,1761.9217,2193.97518,2126.516,1609.99971,1466,1421.92202,1667.98945,1593.36183,1682.02039,1654.8755
"6221","Cnksr1",886.00013257529,669.00015,789.9999,849.99986,1129.00432,953.999720100394,879.99954,751.9995319,648.00048,948.99974,739.99984,855.00034,918.00036267032
"6222","Cnksr2",2,0,0,1,0,1,1,2,0,1.00001,1,1,3.00291
"6223","Cnksr3",286,232.9999,292,261.9995,270,357,347,210.0005,208.9996,214.0002,221.0005,251.9997,297
"6224","Cnmd",0,1,0,0,0,0,0,0,0,0,1,0,2
"6225","Cnn1",2,0,1,0,0,8,1,16.00001,2,1,0,0,0
"6226","Cnn2",68.00001,76,84,79.99995,126,69,57.99998,52,99.99998,85,46,85,68.99995
"6227","Cnn2-ps",10,6,10,4,4,8,13,9,2,6,21,6,5
"6228","Cnn3",63.000047,79.99997,127,323.00029,227.99996,122.99969,49,41,119,82.00003,45.99998,79.0000232,112
"6229","Cnnm1",23,52,37.99996,34.00002,37,54,18,40,39,48.000013,53.99995,52.99995,50
"6230","Cnnm2",229.9999,747,393.0002,272.9996,217.0003,299.0004,331.9998,841.9998,732.001,477.9997,438.9998,703.99996,631
"6231","Cnnm3",173.99998,156.97717,129.78934,87.7045,137.8064,111.4109374,135.82934,168.9137,113.29629,117.2754,123.2475,132.00652,156.94899
"6232","Cnnm4",1646,1573,2265,2928,2089.99538,2121,1613,1194,1772.53,2237,1457.00399,2000.23,2299
"6233","Cnot1",3899.5642,4616.52360317328,3823.31935025217,4289.68069,2642.01983,2890.91089,4005.85908001613,4086.31226,3504.40962,3799.54697,4401.52034,3418.43289,4839.490010484
"6234","Cnot10",419.9695,453.40069,499.71442,530.13543,517.7418,546.324377,436.492850511437,383.79118,449.4061,385.11594,509.05019,599.2314,589.89292
"6235","Cnot11",453.0002,561.0002,451,422.0001,427.9999,511.9996,432.0004,493.99961,449,400.9998,384.9998,513.9997,538.9999
"6236","Cnot2",892.0002,856.9992417,889.00025001545,911.000315,989.00006,937.00067,867.000027159,840.99948,781.999941488,739.0008349469,883.000058926334,881.0001,900.000110195012
"6237","Cnot3",769.0801,1049.8654,837.4133,783.7683,671.67183,729.99963,695.35258,883.6818,806.8334,908.67613,816.1912,768.593,830.53223
"6238","Cnot4",567.9997497675,664.00194,572.0004237,544.000016742,475.0013631,489.99986,554.9996,485.00008,437.000400989208,497.9997301838,564.0014016207,426.9995,487.300800071139
"6239","Cnot6",923.71857,812.02023,873.185158,1203.9997,1014.90494,798.00227,852.9996,702.0614,787.00226,895.0005,816.19823,852.212311,970.99965
"6240","Cnot6l",884.00008,1246.99971,961.00012,848.99947,572.99979,794.9998,830.0005,1097.99967,943.99961,885.0001,954.99986,1133.00026,1010.99963
"6241","Cnot7",681.01158,742.000443579,718.0002245,798.580400082662,742.999379,778.30901,732.99952,645.99971,620.00009,603.88919,632.1590617,860.00036,669.0002470741
"6242","Cnot8",442.99967,419.86754,458.89582,385,503.99979,500.99974,373.99966,383.00014,383.89713,347.99965,397.94834,528.00018,501.91507
"6243","Cnot9",732.9998,723.9997,839.9996,1292.99924,1341.99624,986.99979,767,562.00028,709,1005,769.00015,863.99967,966.0002
"6244","Cnp",175.00044,184.99958,156.0004,262.99975,250.99963,241.99963,142.00023,176.12001,215.27988,262,159.50668,253.63322,247.9995
"6245","Cnppd1",983.6072,904.7239,860.70758,871.9388,1214.76115,1028.25919,892.56201,802.67082,670.82664,956.55723,1223.23593,971.59511,959.57267
"6246","Cnpy1",231.99972,194,333.0001,213,412.0002,468.0002,231.9995,124.9999747,281.9996,195.99999375,338.99991,529.0001,427.0001
"6247","Cnpy2",816.00055,703.99973,765.99965,763.00041,1092.00021,951.99972,843.00002,810,683.99985,784.00023,742.99938,828.9999,908.99986
"6248","Cnpy3",278.86162,292.370063,288.51473,305.17029,255.0721,320.99971,301.35884,252.6184,221.821495,237.6551,214.17076,308.39843,260.20475
"6249","Cnpy4",62.00004,84.00004,85,97.00003,108.00018,109.00038,64,77.00002,66.99999,56,105.00004,100.99998,96.99999
"6250","Cnr1",8.0000023859,5.9999994123,10,10,5.9999989883,8,13.0000165,2.00000406459,11,12.0000336357,10,10.999967091,6.4575902407
"6251","Cnr2",3.74133,3.02973,3.0439,4.01787,3.02549,2.01451,2,1.01416,3.03752,8.0854,6.02735,2.02712,5.06198
"6252","Cnrip1",0,1,1,0,0,0,0,0,2,1,0,0,0
"6253","Cnst",661.00036,793.99978,917.99972,755.99959,611.00028,709.00003,654.0005,599.00018,752.99958,649.00005,810.00025,1044.99814,754.00003
"6254","Cntd1",3.65357,7.18864,5.88986,12.391301,7.89755,5.97462,8.7376,7.06544,6.17504,2.2884,10.654887,9.64117,4.86263
"6255","Cntf",33,37,29,23,27,45,36,22,19,18,31,17.6193,19.3991
"6256","Cntfr",3.000001,5,4,0,1,5,3,1,2,2,4,5,4
"6257","Cntln",4,1,3,3,1.999997,1,3,0,5,3.999997,4,6,1
"6258","Cntn1",5.00346,1.59521,11.9274,2.10008,3.91426,2.55289009,5.47665,2.35754,2.87907,3.66216,4.75502,1.28191,6.28806
"6259","Cntn2",0,0,1.0126955167,0,0,1.01741102086,1.03819,0,0,1.01757212528,0,0,1
"6260","Cntn3",1,1,4.00002,0,3,5.00433,2,0,1,0,1,1.00001,1.03098
"6261","Cntn4",0,0,0,0,0,1,0,0,0,0,1,2,1
"6262","Cntn5",0,0,0,0,0,0,0,1,0,1,0,0,0
"6263","Cntn6",0,0,0,0,0,0,0,0,0,0,0,0,0
"6264","Cntnap1",37,55.08,108.70845,46.15778,72,74.6741,49.4748,39.06778,83.5778,45.47975,83.0663,158.44993,82.13711
"6265","Cntnap2",26.3627,25.88346,13.86233,17.8148,20.5112,28.0699,16.02083,35.9419,10.737976,18.0061,19.7162,12.028,25.05016
"6266","Cntnap3",0,0,0,0,0,0,0,0,0,0,0,0,0
"6267","Cntnap4",3,6,16,9,20,14.3113,4,3,7,4,11,13,18
"6268","Cntnap5a",4.00112,1,0,0,2.00068,0,2,0,3,1.00055,0,4.00001,3.00074
"6269","Cntnap5b",0,0,0,0,0,0,0,0,0,0,0,0,0
"6270","Cntnap5c",0,0,0,0,0,0,0,0,0,0,0,0,0
"6271","Cntrl",121.48149,174.999950269895,157.000029432698,215.56649,154.000062,147.00001,118.00009,109.547133,133.31940235186,125.75368,141.0000971,164.242760209936,230.99994
"6272","Cntrob",64.99997,103,93.999989,129.00029,75.00005,108.0000103738,60.99998,46.00004,104.99998,77,62.000047,86.00002737,138.00025
"6273","Cntrobos",0,0,0,0,0,0,0,0,0,0,0,0,0
"6274","Coa3",995,905,1159.99822,1294,1489,1442,917,893,960.99981,883,893,1166,1028
"6275","Coa4",142,191.03283,200.10062,210.00652,223.03192,242.02054,159.00432,192.0005,203.00327,195.00623,174.01004,242.00616,168.0608
"6276","Coa5",2365,2568,2785.99,3602.19311,2543.06,2658.13106,2375.09355,2336.99241,2323.00242,2694.16,2232,2549.81,2782.06008
"6277","Coa6",110,87.00005,141,145,173.00044,157,115,83,111,65,74,163,124
"6278","Coa7",319.80552,385.47414,402.62373,373.73931,444.897,419.1604,350.64548,397.0465,417.0635,397.93389,430.64745,406.97372,521.1217
"6279","Coa8",176.37388,167.34853,161.94343,184.94904,172.90583,211.95313,154.00273,156.7934,138.90897,129.63742,159.33398,141.57392,157.96533
"6280","Coasy",351.99987,375.99979,502.99974,416.9997,400.9995020675,598.0001,340.0003,355.0004,422.9998,256.9998,442.999720231,495.9999,448.0005
"6281","Cobl",17415.0090481206,13908.007656008,13354.99792,9925.99537,6758.00056,8610.99564,17098.990112312,12088.995,7936.0013320881,9234.00193,9167.997781746,9590.0074803,9217.99447441436
"6282","Cobll1",418.99957604025,475.9993,496.99982,453.000566,198.0001031765,335.0100966307,393.9997,385.99996,410.99994,354.99990002718,265.0003105431,442.00043287,379.99964
"6283","Coch",1,2,3,2,1,2,0,1,1,1,3,0,3
"6284","Cog1",1325.3432,1366.06583,1399.61426,1631.22584,1264.62866,1436.15835,1362.73469,1332.70991,1247.30997,1528.55149,1147.82516,1327.52742,1466.53829
"6285","Cog2",475.00023,398.99994,520.99955,524.00009,486.99997,520.00003,503.0004,457.00026,412.99962,489.9995,478.9999,507.00039,595.0003
"6286","Cog3",390.0001,403.9998,434.9995,458.9995,433.9996,442.99945,424.9999,366.9999,420.9996,374.0002,452.0005,530,554
"6287","Cog4",839.00016,791.99955,851.37857,892.0004,1166.99628,1120.99641,902.99966,812.99988,792.00015,906.99972,946.00007,1012.00007,1074.00304
"6288","Cog5",788.40022,843.77239,851.2833,931.12204,857.99195,910.2451,783.07501,700.17433,795.90685,736.38034,679.4165,839.92731,1028.08666
"6289","Cog6",662.32432,602.44365,636.81738,753.27992,808.501,751.84051,655.00039,641.99987,698.99998,707.01385,639.78938,854.35589,830.3863
"6290","Cog7",431.978,476.41427,448.048,496.77487,425.712,459.57616,479.163,433.28485,418.368,454.08455,410.93,485.84701,517.1251
"6291","Cog8",500.87328,561.36626,540.82517,553.57926,559.0542,648.12936,467.917,510.5683,503.20207,552.47579,404.0689,556.3219,608.5313
"6292","Coil",24.99999,35.99996,24.00003,39.00001,32.00003,51.00004,23.99997,28,38,23,17.99996,28.99997,30.99999
"6293","Col10a1",0,0,0,0,0,0,0,0,0,2,0,0,2
"6294","Col11a1",0,0,0,0,0,0,0,0,0,0,0,0,2.6715
"6295","Col11a2",3.999997,16.000029,18.0000047,8,19.00005,15.99998,13.0000101974644,9,6,5,28,10.999994,10
"6296","Col12a1",0,0,0,0,0,0,0,0,0,1,0,0,1
"6297","Col13a1",0,0,0,1,0,0,0,1,0,0,0,0,0
"6298","Col14a1",0,0,0,2,3,2,0,0,1,0,0,0,0
"6299","Col15a1",21,26.99996,15.9999951872,19.999996,12.000002,18.000029,30.99996,17,17.999965,9,16.00000036458,30.000010859063,19.000006
"6300","Col16a1",0,2,0,2.999997,0,4,2.000002,3,1,0,4,2,5
"6301","Col17a1",2,2.999997,1,2.999996,5.000002,1,3,3,1,3,8.9999956,3.999999,3
"6302","Col18a1",168.99957,202.0002,122.0001,127.99954,102.000099,154.9998,185.9997,271.00091,118.00338,154.00026,127.00914,144.00125,155.71456
"6303","Col19a1",0,0,0,0,0,0,0,0,0,0,0,0,0
"6304","Col1a1",1,0,4,0,4,2,1,1,0,1,1,1,0
"6305","Col1a2",1,0,2.00663,2,1.00562,5.00663,0,1.00869,1,2,2,5.00636,4
"6306","Col20a1",107.99996,138.00031,118.99968,48,69.00007,116.99974,136.99975,100.99996,71.999958,61,96,121.99966,125
"6307","Col22a1",4.00496,9.36255,11.0069,3.076,3.09743,8.78311,6.26354,2.33254,6.2433,3.93551,3.50307,12.3479,3.64513
"6308","Col23a1",3,2,1,1,1,3,2,2,1,1,2,3,3
"6309","Col24a1",0,0,0,0,0,0,0,0,0,0,0,0,0
"6310","Col25a1",8.24119,11.14715,7.263824,12.00252,7.04909,11.3205,15.43463,3,17.33043,6.21799,8.999995,14.15795,18.63315
"6311","Col26a1",0.924435,3.5861,0,2.65554,1.557237,1.20021,2.09732,2.19628,0,3.13471,0,2.58904,0
"6312","Col27a1",22.38463,39.50954,32.43975,16.94059,29.0811,29.01602,25.53915,20.88222,20.01566,18.2181,38.25695,38.26198,43.018021
"6313","Col28a1",0,1,0,0,1,0,1,0,1,0,0,0,0
"6314","Col2a1",0,0,1,0,0,0,0,1,0,1,0,0,0
"6315","Col3a1",1,0,0,0,2,4,0,1.999996,0,0,2,2,2
"6316","Col4a1",0,1,1,1,0,4.000003,1,1,2.000001,0,1,4,2
"6317","Col4a2",1,0,0,0,3,1,1,0,0,0,3,0,1
"6318","Col4a3",15,4,3,6.10668,11,8.999997,17.17189,7,7.07446,6.999998,9,15.6565,12
"6319","Col4a4",1,2,1,2.00014,2.0046,3,3,0,2,0,1,0,2
"6320","Col4a5",0,0,1,1,0,0,0,0,0,0,1,0,0
"6321","Col4a6",1,2,6,0,9,7,3,1,0,1,4,3,3
"6322","Col5a1",0,0,0,0,0,1.00215,0,0,0,0,0,0,0
"6323","Col5a2",0,0,0,0,0.56304,2,0,0,1,0,0,0,0
"6324","Col5a3",0,0,0,0,2,1,0,1,0,0,2,0,0
"6325","Col6a1",0,0,2,1,3,1,0,0,0,1,2,0,0
"6326","Col6a2",1,0,3,2,0,0,0,0,0,1,0,1,1
"6327","Col6a3",0,1,0,0,0,1,0,0,0,1,0,0,0
"6328","Col6a4",0,0,1,0,0,0,0,2,2.000003,0,0,2,0
"6329","Col6a5",3,5,1,0,1,1,4,2,2,2,4,3.000003,3.000004
"6330","Col6a6",0,0,2,0,0,0,0,0,0,1.00095,1,0,2.0007
"6331","Col7a1",33.00002421,49.99997537,62.9999805,31.00004094,77.00000151,127.99994576,37.0000129,30.00005,38.00003122,29.00001924,97.000017,79.9999971,102.0000184
"6332","Col8a1",2.00771,0,0,0,0,14,1,4,2,0,5.00691,1.07568,2
"6333","Col8a2",1,0,2,1,2,0,0,1,3,1,1,2,1
"6334","Col9a1",0,0,0,0,0,1,0,1,1,0,0,1,1
"6335","Col9a2",1,0,0,0,0,0,0,0,0,0,0,1,0
"6336","Col9a3",11.000002,3,8.99999,2,4.999994,6,10,1,6,8.000004,8,8.000001,12
"6337","Colec10",0,0,0,0,0,2,0,1,0,0,0,0,2
"6338","Colec11",0,0,1,0,0,0,0,1,0,0,0,0,0
"6339","Colec12",4.453095,2.012094,6.39702,8.99119,15.08762,7.08661,3.27741,9.06126,7.20678,7.56759,8.06856,7.39578,9.24879
"6340","Colgalt1",371.40779,340.5108,418.1647,444.35439,335.5715,519.50662,328.6309,274.7469,377.3414,296.4819,306.3529,421.0586,448.4777
"6341","Colgalt2",0,0,0,0,0,0,0,0,0,0,0,0,0
"6342","Colq",1.0000000251476,0,1,0,1.0000000301251,1,1.00000041314,2.0000000324893,0,1.0000000255834,4.0000030458,1.22008,0
"6343","Commd1",433.52441,398.85273,461.86697,502.21691,549.97653,531.29362,418.3042,406.52581,406.36988,401.54008,388.03479,562.79344,398.00156
"6344","Commd10",252.73064,186.00031,209.99979,317.99982,222.00007,309.99996,255.99428,226.00537,192.235167,245.99764,250.99045,248.00045,237.99734
"6345","Commd1b",404.626,334.168,409.855,446.605,635.632,493.179,398.58,386.601,311.551,244.06,401.272,565.667,187.744
"6346","Commd2",176.99999,130.99991,198.0002,202.00026,244.00054,220.00042,145.9995,123.00002,142.99995,171.00037,107,183.00007,182.99961
"6347","Commd3",823.00001,742.99962,745,828.00028,1101.995769676,1143.99841,787.99972,743.00021,718.99975,707.00041,787.0002,856.00027,855.00024
"6348","Commd4",386.00043,332.00004,369.000279,386.00042,552.99967,552.000258,397.99994,339.9995,301.00054,378.99981,432.0001,444.9999,426.99971
"6349","Commd5",206.00017,192.99983,235.00032,251.99978,327.00039,273.00039,189,174.9996,175.9996,177.00019,176,254.00012,209.0004
"6350","Commd6",304.9994,311.5547,413.5487,344,363.0003,476.507,349.5256,302.7378,336.9996,249.3901,327.9998,493.808,322.0001
"6351","Commd7",310.6991,402.0939,331.743,367.4852,417.0935,437.0661,328.8767,312.8835,326.3876,323.88,351.5768,438.286,421.1928
"6352","Commd8",267.0691,222.45323,247.45347,285.01282,337.01504,340.9667,259.0183,259.02068,234.3743,208.38725,265.9476,346.34564,279.37086
"6353","Commd9",247.00049,249.99998,258.99968,262.0001,379.99961,387.96542,245.99996,227.99967,214.00034,191.9899,249.00016,297.00024,321.00024
"6354","Comp",0,1,1,1,0,1,1,0,0,1,0,0,1
"6355","Comt",1853.911,2087.213,2555.85,2362.77,2476.316,2689.186,1970.64,1782.725,2083.502,2148.928,2006.205,2592.412,2058.066
"6356","Comtd1",196.7467,201.6048,245.6748,343.8251,394.4464,309.7124,189.8015,256.2299,203.2541,303.7659,218.5675,214.332,275.37
"6357","Cop1",1082.43452,1084.46785,1131.47547,1233.40483,1188.40624,1255.22316,971.51964,946.87644,1033.22024,979.27487,1047.59956,1230.97316,1196.49102
"6358","Copa",10103.54927,9290.40732,8539.97704,9283.77642,9909.54619,9368.72104,9593.9598,10059.18882,8814.83618,9686.17621,10509.55504,9793.23357,10735.44393
"6359","Copb1",3587.0012,2889.99546,2966.00096,3499.999,3690.004,3220.002,3472.99963,3320.0037,3042.9959,3021.005,3430.00205,3727.997,3373.04187
"6360","Copb2",6993.00089,6866.00071,6077.00412,6089.99831,7967.99832,7589.00389,6930.99505,7402.99777,6660.00472,6261.99983,7302.9973,8101.99577,7331.00185
"6361","Cope",2085.99629,2080.9998,2232.00286,2360.99486,2911.00102,2649.0051,2029.99577,2197.99537,2100.99689,2251.99613,2292.99722,2587.99597,2367.99923
"6362","Copg1",3839.00073,3640.03141,3538.69439,3956.05151,4140.03447,3941.14468,3843.69047,4002.70394,3479.9987,3730.06976,4090.3945,4406.232,4213.0388
"6363","Copg2",591.67933,575.367390059678,551.9659,744.3916429,751.14322,672.99975,655.03022,627.56084,599,582.16757,613.00052,576.57709,702.10174
"6364","Coprs",89.15716,88.5099,102.382743,108.20252,154.02692,161.3129,86.04261,71.05224,106.34452,80.04716,74.32499,149.75055,118.10535
"6365","Cops2",1162.99967,953,1015.0005562,1104.0005,1173.0003,1164.00042,1081,1016,1005.00064,866.99959,1122.9998,1269,1131.9994
"6366","Cops3",838.01659,907.87517,935.9845,1016.94914,1059.91127,1046.85263,772.96048,792.85346,782.91682,759.06098,804.95355,946.79272,924.88493
"6367","Cops4",699.99978,625.00035,613.99956,742.99984,1061.00137,782.99972,712.99956,568.99999,622.00015,600.99988,620.99988,734.00043,699.00035
"6368","Cops5",526.96449,571.99956,624.9999,694.75316,803.90694,715.71882,566.00001,582.99965,598.99964,536.00001,506.99964,674.99461,607.00446
