,logFC,AveExpr,t,P.Value,adj.P.Val,B
Pnn,0.023535603,6.362641178,0.190705127,0.851909331,0.926633691,-6.733270492
Ccl5,0.064491077,3.605751868,0.190340084,0.852189119,0.926867814,-6.733344541
Dtd2,0.018899019,3.534417031,0.190236176,0.852268764,0.926884236,-6.733365593
Paip1,-0.015839768,5.856535939,-0.190103367,0.852370563,0.926924747,-6.733392484
Dynlt2b,-0.03101796,1.391754638,-0.189698332,0.852681043,0.927132575,-6.733474378
Rprml,0.050097831,0.143100018,0.189673432,0.852700131,0.927132575,-6.733479407
Zfp69,-0.042057523,-0.356901071,-0.189601381,0.852755365,0.927132575,-6.733493955
Mindy3,-0.020251401,4.586667784,-0.189002829,0.853214242,0.927561247,-6.733614597
Wdr90,0.0241372,2.696825468,0.188797568,0.853371617,0.927586522,-6.733655882
Ncapd3,-0.029221065,5.349289286,-0.188761499,0.853399272,0.927586522,-6.733663132
Atad2b,0.024768636,5.343745678,0.188719758,0.853431276,0.927586522,-6.73367152
Ctsw,-0.051863226,0.857788951,-0.188532227,0.853575066,0.927672591,-6.733709184
Kpna2-ps,0.080895829,-0.417165786,0.188428984,0.85365423,0.927688417,-6.733729904
Zfp101,0.025725247,4.115828384,0.188324977,0.853733982,0.927704879,-6.733750765
Usp27x,0.043538347,-0.169103578,0.188049688,0.853945078,0.927864053,-6.733805927
1700030C10Rik,-0.048656429,1.259476413,-0.187858728,0.854091517,0.927952953,-6.733844144
Pacsin1,-0.026764306,-0.013798488,-0.187715634,0.854201254,0.928001967,-6.733872756
Ndufb3,-0.027693089,5.680627742,-0.187411714,0.854434334,0.928184964,-6.733933454
Pgc,-0.058933677,1.79051683,-0.187202471,0.854594815,0.928237559,-6.733975187
Rcsd1,0.038905231,0.127268648,0.187180024,0.854612031,0.928237559,-6.733979661
Lrrc40,0.01610665,4.802149509,0.186594666,0.855061013,0.92865498,-6.734096148
Lipa,-0.05194419,6.00389657,-0.186488216,0.855142668,0.928673426,-6.734117292
Zfp472,0.017299704,2.794633153,0.186378639,0.855226723,0.928694476,-6.734139046
Dok5,0.045273721,0.343681159,0.185967282,0.855542288,0.928913443,-6.734220595
Lsm14a,-0.0136182,6.071338919,-0.185947136,0.855557744,0.928913443,-6.734224584
Nr1d1,0.032052135,6.802236656,0.185706961,0.855742002,0.929043256,-6.73427211
Mrpl14,0.025979122,4.298136025,0.185449532,0.855939507,0.929170838,-6.734322982
Engase,-0.019510147,5.273741563,-0.185331774,0.856029857,0.929170838,-6.734346229
Kitl,-0.038411613,5.909205495,-0.185300785,0.856053634,0.929170838,-6.734352344
Pwwp2b,-0.022205886,3.745857692,-0.18509811,0.856209143,0.92926939,-6.734392315
Coq3,0.018442167,3.498853036,0.185009844,0.85627687,0.929272661,-6.734409709
Gbp2,0.051569965,-0.377633725,0.1848695,0.856384558,0.929319297,-6.734437348
Alkbh6,0.019597049,3.891184842,0.18468882,0.856523202,0.929399515,-6.7344729
Rida,-0.016885589,3.205027857,-0.184576268,0.856609572,0.929423003,-6.734495029
C030014I23Rik,-0.039229193,1.259184858,-0.18376754,0.85723022,0.930026138,-6.734653642
Sin3a,0.018679693,5.74295142,0.183476959,0.857453247,0.93009892,-6.734710463
Mea1,0.018788867,5.281177901,0.183392347,0.857518192,0.93009892,-6.734726992
Eif3c,0.01365246,7.662321395,0.183306942,0.857583745,0.93009892,-6.734743668
Ccnt2,0.015603397,5.51191924,0.183284792,0.857600747,0.93009892,-6.734747991
Gm17055,0.050859756,-0.096240362,0.183258203,0.857621156,0.93009892,-6.734753181
A930024E05Rik,-0.044668635,0.35495235,-0.182949489,0.857858125,0.930285657,-6.734813379
D630045J12Rik,-0.044917284,0.558166563,-0.182273799,0.858376835,0.930777872,-6.734944783
Atp5j,-0.024755965,7.461032103,-0.1818361,0.858712883,0.931071957,-6.735029646
Afg3l1,-0.015152801,5.088531955,-0.181539541,0.858940585,0.931248532,-6.735087028
Unc13a,-0.02814147,0.914344836,-0.181227614,0.859180102,0.931437888,-6.735147284
Rnpepl1,0.020975818,6.841400933,0.180682404,0.859598783,0.93166109,-6.735252357
Taf5,0.014088115,3.650967294,0.180569667,0.859685361,0.93166109,-6.735274044
Ubr1,-0.021167691,4.130302944,-0.180521432,0.859722405,0.93166109,-6.735283319
Cntd1,-0.061273579,0.328955714,-0.180512927,0.859728937,0.93166109,-6.735284954
Smdt1,-0.031543085,6.445978651,-0.180472737,0.859759803,0.93166109,-6.73529268
Clca1,0.02779037,9.15239786,0.180452608,0.859775262,0.93166109,-6.735296549
Idi1-ps2,-0.089063742,-0.533773422,-0.180349535,0.859854423,0.931676564,-6.735316352
Cox7c,-0.024124844,7.375087169,-0.180048774,0.860085418,0.931856542,-6.735374074
Stambpl1,-0.020200136,3.428840013,-0.179748673,0.860315921,0.931937862,-6.735431573
Gm48119,-0.038302068,0.65757147,-0.179693214,0.860358519,0.931937862,-6.735442189
Ripor1,-0.023867536,3.456830772,-0.179621917,0.860413284,0.931937862,-6.735455831
Parn,-0.018936638,4.494403608,-0.179565207,0.860456844,0.931937862,-6.735466679
AW146154,-0.0165557,2.799280229,-0.179439935,0.860553071,0.931937862,-6.735490628
Selenot,0.015846317,7.319271351,0.179344761,0.86062618,0.931937862,-6.735508813
