"","logFC","AveExpr","t","P.Value","adj.P.Val","B","Symbol"
"Semp2l2a",1.31565091787048,-0.972425412713242,5.23980783039742,0.000172950806037097,0.0211723678227399,1.07627785562108,"Semp2l2a"
"Gm48809",-0.963586579001605,1.95888010669244,-5.21558174191002,0.000180255089789714,0.0219111486257765,1.03607122299879,"Gm48809"
"Mppe1",0.462742871450124,4.51247441520992,5.18460388453129,0.00019006860362653,0.0227762996921273,0.98453339011197,"Mppe1"
"Parm1",0.533948730654076,8.50146564185905,5.18327624099837,0.000190501488296514,0.0227762996921273,0.982321448133418,"Parm1"
"Tert",0.646909280443929,1.42918880920119,5.1807411207815,0.000191330945794477,0.0227762996921273,0.978097053946409,"Tert"
"Amph",1.03221938089861,1.23932326856014,5.15707172755959,0.000199260128051683,0.0234715122794766,0.938610302490264,"Amph"
"Gm16287",1.45580306082854,-0.728535099246097,5.15066343512393,0.00020146551642393,0.0234715122794766,0.927905543161828,"Gm16287"
"Neurog3",-0.888328280187878,-0.467513903970202,-5.14968928509167,0.000201802996254909,0.0234715122794766,0.926277746896874,"Neurog3"
"Gclc",-0.550963931835783,6.60012837063777,-5.14380299307589,0.00020385484040599,0.0234715122794766,0.916438868310039,"Gclc"
"Hsd17b2",0.788880993203056,7.33544753981544,5.14347435386865,0.000203970038927147,0.0234715122794766,0.915889402727603,"Hsd17b2"
"Gmfb",0.494432872870457,6.54264878594714,5.12311643992213,0.000211240605538875,0.0239934589182339,0.881821605469161,"Gmfb"
"Sgpp2",0.457847423071007,8.01205570899846,5.12299194950124,0.000211285890479784,0.0239934589182339,0.881613093159309,"Sgpp2"
"Slc25a45",2.62449126399687,2.94291865201439,5.10219285088402,0.000218996258745026,0.0247064994914895,0.846744678439157,"Slc25a45"
"H2-Q5",1.55401677033832,2.97279120531974,5.08135641784545,0.00022701601731831,0.0254449576294244,0.811751141546657,"H2-Q5"
"Tldc2",-0.769984175582,2.46709448607517,-5.04808128708901,0.000240466157149684,0.0267786215391013,0.755738406787694,"Tldc2"
