"","logFC","AveExpr","t","P.Value","adj.P.Val","B","Symbol"
"Thap7",0.0991850454710299,3.61340236445627,0.933772465707402,0.368626515204071,0.590488604551257,-6.30362099257281,"Thap7"
"Slco4a1",0.158382350740864,3.18332086938316,0.933705661107602,0.368659621781671,0.590488604551257,-6.30368308414271,"Slco4a1"
"Gm34567",-0.165401477879943,1.69641286540739,-0.933494793374821,0.368764135885528,0.590590136662437,-6.30387905008566,"Gm34567"
"Rbx1",0.0659665386191879,5.27793325484878,0.933282589416603,0.368869333250068,0.590692740277011,-6.3040762192124,"Rbx1"
"Arhgap26",-0.151954270375484,4.82293851232279,-0.932834655880672,0.369091459589797,0.590966830943691,-6.30449228908269,"Arhgap26"
"Gbp6",-0.178671165543286,1.25384182230643,-0.932765557444189,0.369125733250107,0.590966830943691,-6.30455645684615,"Gbp6"
"Cd244a",0.246527157590622,1.13419138834334,0.932688521122359,0.369163946827926,0.590966830943691,-6.30462799122605,"Cd244a"
"Prdm1",-0.231568593337711,1.63211846156918,-0.932090386445386,0.36946074364405,0.591283613760435,-6.30518323329797,"Prdm1"
"Igdcc4",-0.200261508844533,1.81665471421037,-0.932036335064957,0.369487572391526,0.591283613760435,-6.30523339345098,"Igdcc4"
"Pim3",-0.289222023640928,5.65857429199053,-0.931976967267107,0.36951704154999,0.591283613760435,-6.30528848438787,"Pim3"
"Carmil3",-0.250368213767125,0.805238933872824,-0.931957861743118,0.369526525555317,0.591283613760435,-6.3053062129031,"Carmil3"
"Atpaf1",0.0744516227682688,4.88110995168509,0.93169479599441,0.369657129056625,0.59142669678946,-6.3055502865404,"Atpaf1"
"Ccdc14",-0.115263410021836,2.4918572298169,-0.931415447728731,0.369795851696363,0.591582736572516,-6.30580940195164,"Ccdc14"
"Ddx5",0.0584466550231433,9.45742117096177,0.931170368575094,0.369917586535372,0.59171156830413,-6.30603667499093,"Ddx5"
"Brwd1",-0.113070829136666,5.98534268249813,-0.931009296857417,0.369997608787353,0.591741099207705,-6.30618601595058,"Brwd1"
"Gm56450",-0.159575301928124,3.61774136100975,-0.930967335430032,0.370018457689937,0.591741099207705,-6.30622491768374,"Gm56450"
"Fkbp9",-0.146895379955649,1.94313571262335,-0.930804224694651,0.370099508502547,0.591804814787338,-6.30637612049837,"Fkbp9"
"B9d2",-0.160719134237879,0.533314585150858,-0.930681530088658,0.370160484464366,0.591836419215404,-6.30648984266817,"B9d2"
"Dpy19l3",0.169523549687415,0.704996514838812,0.93051180617305,0.370244844340933,0.591905400153639,-6.30664713360551,"Dpy19l3"
"C1qtnf4",-0.248850965379496,-0.485793020098614,-0.930327003676092,0.37033671421089,0.59198637052344,-6.30681837033897,"C1qtnf4"
"Eif1",-0.0931293997206089,7.97430280196324,-0.930150115790079,0.370424664481953,0.592036898485645,-6.30698224589153,"Eif1"
"Nkap",-0.0703029198520926,3.94326516719755,-0.930097608691525,0.370450774304854,0.592036898485645,-6.30703088524301,"Nkap"
"Ctdspl2",-0.149316080354227,4.4172278915061,-0.929442808851757,0.370776490074407,0.592491507061151,-6.30763725207981,"Ctdspl2"
"Rgs2",-0.140122323242756,3.07472208563441,-0.928878136423999,0.371057534843662,0.592874639284582,-6.30815986117365,"Rgs2"
"Klhdc2",-0.0689294283957809,4.89539617689067,-0.928772249635591,0.371110252658039,0.592892906710657,-6.30825782968906,"Klhdc2"
"Ints6",0.125736585828442,4.85796676979331,0.928622094117665,0.371185019510935,0.592946392124198,-6.30839673992259,"Ints6"
"Egf",0.246667859318421,0.838744528431128,0.928365694681011,0.371312712695457,0.592952348599744,-6.30863389243688,"Egf"
"Kif18a",0.143020455447855,3.26824899199358,0.928208733084342,0.371390898566146,0.592952348599744,-6.30877904355836,"Kif18a"
"Ankrd24",0.0914313157236273,2.02779630507928,0.928141375100974,0.371424454524074,0.592952348599744,-6.30884132671907,"Ankrd24"
"Fxr2",0.0570896040760447,5.41524925394504,0.927966694723498,0.37151148552666,0.592952348599744,-6.30900282826091,"Fxr2"
"Gm47260",-0.168347733191299,1.1315240512467,-0.92796134224607,0.371514152516591,0.592952348599744,-6.30900777650291,"Gm47260"
"Opa1",-0.0873250407906339,6.6985836002507,-0.927895114089125,0.371547153264187,0.592952348599744,-6.30906900086328,"Opa1"
"Utrn",0.134935038727374,6.74518324337622,0.927760620085146,0.371614176425346,0.592952348599744,-6.30919332167808,"Utrn"
"Ubl7",-0.0794494492776829,5.12377852129332,-0.927753344745504,0.371617802227687,0.592952348599744,-6.30920004626288,"Ubl7"
"Trmu",0.123039847347132,2.86081392063938,0.927677182950093,0.371655760375683,0.592952348599744,-6.30927043974829,"Trmu"
"Xylt2",-0.0938701198022298,3.6213126797872,-0.927569761059962,0.371709302797228,0.592952348599744,-6.30936971726013,"Xylt2"
"Trim39",0.0905240292263096,4.28901882657428,0.9275217886604,0.37173321547973,0.592952348599744,-6.30941404933356,"Trim39"
"Harbi1",-0.149425166533721,2.75490331602084,-0.927515761300856,0.371736219998678,0.592952348599744,-6.30941961917403,"Harbi1"
"Trbc1",0.388301034950227,-0.548868644461318,0.927493295480679,0.37174741891313,0.592952348599744,-6.30944037940401,"Trbc1"
"Psmd1",0.0751736226899808,6.69443152714314,0.927454426257189,0.371766795264403,0.592952348599744,-6.30947629667362,"Psmd1"
"Cphx1",0.769763271382553,-1.63905684504624,0.927239086936114,0.37187415494699,0.59305771673445,-6.30967525827049,"Cphx1"
"Nfkb1",0.0639363140898883,6.03732769193412,0.926838686112245,0.372073836594682,0.593282485971017,-6.31004510009601,"Nfkb1"
"Gm56812",-0.156307864209816,0.394873552560867,-0.926790806068901,0.372097719597587,0.593282485971017,-6.31008931662675,"Gm56812"
"Atp5g3",-0.157978405928707,8.90071433138631,-0.926427212282321,0.372279118456715,0.593505819289175,-6.31042502570819,"Atp5g3"
"Rer1",0.101788382534141,7.28148847977711,0.926311137292617,0.37233704189132,0.593532274237012,-6.31053217466125,"Rer1"
"Zfp825",-0.13113715811175,2.67786314508414,-0.926097987204106,0.372443423882118,0.59363596119546,-6.31072890346577,"Zfp825"
"Supt20",0.093796417992948,5.47905270358622,0.925943126767039,0.372520727157407,0.593659812159901,-6.31087180871483,"Supt20"
"Rsbn1l",0.103945809271887,4.90521076448115,0.925902389031792,0.372541064493074,0.593659812159901,-6.310909398068,"Rsbn1l"
"Tead2",-0.181121378821272,1.70735546922808,-0.925663544204144,0.372660317638495,0.593690880900007,-6.31112975515045,"Tead2"
"Zkscan17",-0.17715999920447,4.51457951386444,-0.925655099055574,0.372664534715711,0.593690880900007,-6.31113754570227,"Zkscan17"
"Pafah2",-0.0893039138018992,6.05266030917026,-0.925614951851019,0.372684582641429,0.593690880900007,-6.31117458019181,"Pafah2"
"Slc23a3",-0.156692506288929,0.933327155684602,-0.925362840532663,0.372810494276646,0.593825588765186,-6.31140711287239,"Slc23a3"
"4930533N22Rik",0.113712714672898,1.88949314366975,0.925231131447618,0.372876285389655,0.5938645153023,-6.31152857177807,"4930533N22Rik"
"Lrpprc",0.117006192596679,6.99333658158652,0.925129493940789,0.372927060737315,0.593879520874759,-6.3116222891689,"Lrpprc"
"Sbno2",-0.121060281286151,5.63776389143702,-0.924994103187308,0.372994705791957,0.593882349509759,-6.31174711572507,"Sbno2"
"Git1",0.0914673118117273,6.66973628267378,0.92487964792963,0.373051897561778,0.593882349509759,-6.31185262798232,"Git1"
"Gm12251",-0.226238409693108,0.64040140495125,-0.924829414821927,0.373077000310533,0.593882349509759,-6.31189893253704,"Gm12251"
"Gm18537",0.278922582196045,1.56773088837302,0.924794893236267,0.373094252299774,0.593882349509759,-6.31193075304869,"Gm18537"
"Klf5",-0.119436821310739,8.40521307088573,-0.924694845132534,0.373144253983533,0.593896113427632,-6.31202296727043,"Klf5"
"Gapdh",-0.0957138076361375,11.2934234023011,-0.924362687659825,0.373310292002424,0.594094537172741,-6.31232905443477,"Gapdh"
"Vps45",0.0856333742379642,3.65049665905841,0.923695825223919,0.373643797138561,0.594510478358215,-6.31294328856423,"Vps45"
"Gm48132",0.119580885690863,3.07364326087193,0.923674528117274,0.373654451477003,0.594510478358215,-6.31296289858747,"Gm48132"
"H2-K2",0.246303321885466,1.80618941931337,0.923077608142827,0.373953159836569,0.594919832548241,-6.31351237317615,"H2-K2"
"Kansl1l",-0.250610597618746,2.30662197822368,-0.92213545936731,0.374424965052342,0.595604444297373,-6.31437900986438,"Kansl1l"
"Ankrd54",0.0863367234456094,4.63498690329287,0.921974357612016,0.374505682426066,0.595666862921778,-6.31452712267761,"Ankrd54"
"Rex1bd",0.0899464271370292,4.09176851648138,0.921866092285557,0.374559933793866,0.595687177100079,-6.31462664642734,"Rex1bd"
"Wdr76",0.120830619656646,4.29605179658115,0.92129317670254,0.374847110928656,0.595860895560703,-6.31515313481432,"Wdr76"
"Ebag9",0.0737708454074344,4.17357678945583,0.921206220658865,0.37489071153804,0.595860895560703,-6.31523301941146,"Ebag9"
"Ppa1",-0.140006415511092,7.88363355095313,-0.921134069270665,0.374926891630898,0.595860895560703,-6.31529929833342,"Ppa1"
"Fbxw17",-0.130111439278675,1.8330585201498,-0.921114747010351,0.37493658113219,0.595860895560703,-6.31531704717315,"Fbxw17"
"2310034G01Rik",0.177561164777741,-0.379854297743782,0.920925179807987,0.37503165232974,0.595860895560703,-6.31549116070277,"2310034G01Rik"
"Surf4",-0.122437464723568,8.64623974529342,-0.920805395630057,0.375091734803852,0.595860895560703,-6.31560116394825,"Surf4"
"Mtus1",0.090902335959596,6.42505293928658,0.92079602714656,0.375096434218592,0.595860895560703,-6.3156097669283,"Mtus1"
"Psmc1",0.0740601393176998,6.51437582072268,0.920758922858628,0.375115046858747,0.595860895560703,-6.3156438386605,"Psmc1"
"Psmd14",0.0714892715477111,5.71297305809322,0.920730005530015,0.375129553117004,0.595860895560703,-6.31567039173258,"Psmd14"
"0610009B22Rik",-0.114473920521292,3.525983718542,-0.920670768275811,0.375159270460625,0.595860895560703,-6.31572478353949,"0610009B22Rik"
"Plek2",-0.139415119919444,4.72336627039901,-0.920658120222814,0.375165615777036,0.595860895560703,-6.31573639662261,"Plek2"
"Rint1",0.0917012853252199,4.15434593031399,0.920655231912047,0.375167064804671,0.595860895560703,-6.31573904856812,"Rint1"
"Klhl15",-0.0914519917051106,2.61454679092466,-0.920529415959021,0.375230188801904,0.595895249517211,-6.31585456135237,"Klhl15"
